Country,Country_Code,Measure,Unit_of_measure,Sex,Age,Year,Retirement_values
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1954,20.8
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1955,21
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1956,21.3
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1957,21.6
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1958,21.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1959,22.2
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1960,22.5
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1961,22.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1962,23.1
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1963,23
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1964,23
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1965,23.1
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1966,23.1
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1967,23.1
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1968,23.1
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1969,23
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1970,22.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1971,22.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1972,22.5
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1973,22.3
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1974,22.1
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1975,21.4
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1976,21.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1977,21.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1978,22
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1979,22
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1980,21.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1981,21.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1982,21.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1983,21.6
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1984,21.5
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1985,21.5
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1986,21.6
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1987,21.6
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1988,21.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1989,21.8
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1991,21.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1992,21.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1993,21.4
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1994,21.1
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1996,20.5
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1997,20.2
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1998,19.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1999,19.5
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2001,18.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2002,18.6
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2003,18.4
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2004,18.2
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2022,25.8
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2023,26
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2024,26.7
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1970,72.3
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1971,72.2
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1972,71.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1973,71.2
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1974,70.9
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1975,70.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1976,70.4
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1977,69.8
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1978,69.2
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1979,68.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1980,68
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1981,67.5
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1982,67.4
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1983,67.4
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1984,66.1
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1985,66
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1986,64.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1987,64.4
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1988,61.9
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1989,61.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1990,62.4
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1991,63.3
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1992,62.1
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1993,63
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1994,64.2
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1995,63.1
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1996,63.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1997,62.9
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1998,62.9
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1999,64.4
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2000,64.8
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2001,64.1
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2002,64.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2003,64.5
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2004,63.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2005,64.3
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2006,64.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2007,63.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2008,63.7
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2009,62.8
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2010,63.2
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2011,63.3
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2012,61.9
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2013,62.5
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2014,61.9
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2015,62.3
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2016,62.6
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2017,63.2
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2018,63
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2019,63.8
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2020,63.9
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2021,65
Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2022,64.9
Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014,62.5
Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018,67
Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020,62
Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022,64
Luxembourg,LUX,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,68.8
Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2014,70.3
Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2018,58.1
Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2020,62.8
Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2022,64.6
Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014,67
Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018,67
Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020,67
Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022,67
Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2014,0
Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2016,0
Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2018,0
Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2020,0
Slovak Republic,SVK,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022,48.3
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1970,63
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1971,62.7
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1972,62.4
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1973,62.1
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1974,61.7
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1975,61.3
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1976,61.4
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1977,61.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1978,61.6
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1979,61.7
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1980,61.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1981,62.1
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1982,62.4
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1983,62.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1984,62.7
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1985,62.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1986,62.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1987,62.1
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1988,61.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1989,61.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1990,61.3
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1991,61
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1992,60.4
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1993,59.9
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1994,59.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1995,59.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1996,59.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1997,59.1
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1998,58.9
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1999,58.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2000,58.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2001,59
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2002,58.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2003,59.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2004,59.2
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2005,58.7
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2006,58.7
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2007,58.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2008,58.7
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2009,59.3
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2010,59.5
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2011,59.9
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2012,60.4
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2013,60.8
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2014,60.6
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2015,60.4
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2016,60.2
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2017,60.1
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2018,60.6
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2019,60.1
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2020,60.2
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2021,60.6
Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2022,61.7
Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014,65
Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018,65
Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020,65
Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022,70
Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014,60
Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018,65
Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020,65
Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022,65
Slovenia,SVN,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,42.1
Korea,KOR,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2014,19.1
Korea,KOR,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2016,22.5
Korea,KOR,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2018,22.1
Korea,KOR,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2020,21.4
Costa Rica,CRI,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,64.1
Colombia,COL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2020,0
Argentina,ARG,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,78.7
China (People’s Republic of),CHN,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022,53.8
Bulgaria,BGR,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,58.3
Indonesia,IDN,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014,55
Indonesia,IDN,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018,65
Indonesia,IDN,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020,65
