,Reference area,REF_AREA,Measure,Unit of measure,TIME_PERIOD,Avoidable_mortality_values
52,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2002,90.8
53,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2003,82.7
54,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2014,54.0
55,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2006,74.8
56,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2003,368.3
57,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2004,353.7
58,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2010,265.1
59,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2011,255.5
60,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2012,256.7
61,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2013,229.9
62,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2005,336.1
63,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2006,332.3
64,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2014,234.3
65,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2015,215.4
66,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2016,211.0
67,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2017,206.7
68,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2018,210.6
69,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2007,330.1
70,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2008,299.2
71,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2009,283.9
72,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2019,192.4
73,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2020,209.9
74,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2021,252.3
75,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2022,222.5
76,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2000,390.2
77,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2001,406.1
78,United States,USA,Treatable mortality,Deaths,2011,272672.0
79,United States,USA,Treatable mortality,Deaths,2012,274506.5
80,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2020,405.3
81,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2000,126.5
82,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2001,112.5
83,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2002,108.4
84,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2003,117.2
85,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2004,115.6
86,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2005,127.7
87,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2006,108.8
88,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2007,111.2
89,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2008,105.6
90,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2009,109.4
91,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2010,106.9
92,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2011,102.1
93,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2012,102.9
94,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2013,103.3
95,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2014,97.9
96,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2015,97.9
97,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2016,85.8
98,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2017,91.0
99,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2018,106.9
100,Italy,ITA,Avoidable mortality,Deaths,2019,98148.0
101,Italy,ITA,Avoidable mortality,Deaths,2020,118672.0
102,Italy,ITA,Avoidable mortality,Deaths,2003,134707.0
103,Italy,ITA,Avoidable mortality,Deaths,2004,127025.0
104,Italy,ITA,Avoidable mortality,Deaths,2005,124674.0
105,Italy,ITA,Avoidable mortality,Deaths,2006,120611.0
106,Italy,ITA,Avoidable mortality,Deaths,2007,118677.0
107,Italy,ITA,Avoidable mortality,Deaths,2008,116721.0
108,Italy,ITA,Avoidable mortality,Deaths,2009,115315.0
109,Italy,ITA,Avoidable mortality,Deaths,2010,111666.0
110,Italy,ITA,Avoidable mortality,Deaths,2011,111008.0
111,Italy,ITA,Avoidable mortality,Deaths,2012,110056.0
112,Italy,ITA,Avoidable mortality,Deaths,2013,106550.0
113,Italy,ITA,Avoidable mortality,Deaths,2014,103949.0
114,Italy,ITA,Avoidable mortality,Deaths,2015,105615.0
115,Italy,ITA,Avoidable mortality,Deaths,2016,101546.0
116,Italy,ITA,Avoidable mortality,Deaths,2017,102037.0
117,Italy,ITA,Avoidable mortality,Deaths,2018,99705.0
118,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2020,346.3
119,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2021,470.7
120,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2000,515.5
121,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2001,504.5
122,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2002,486.7
123,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2003,480.6
124,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2004,464.0
125,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2005,462.3
126,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2006,453.8
127,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2007,440.1
128,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2008,424.1
129,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2009,406.5
130,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2010,396.6
131,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2012,376.5
132,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2013,363.0
133,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2014,346.8
134,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2016,336.7
135,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2017,335.7
136,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2018,331.3
137,Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2019,320.7
138,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2001,238.9
139,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2002,228.0
140,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2006,193.6
141,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2007,195.1
142,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2008,187.7
143,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2009,181.2
144,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2003,225.4
145,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2014,150.9
146,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2015,154.4
147,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2016,151.3
148,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2017,150.2
149,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2018,145.0
150,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2019,141.5
151,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2020,163.5
152,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2004,209.6
153,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2005,197.0
154,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2010,172.9
155,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2011,167.7
156,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2012,166.6
157,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2013,161.0
158,Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2000,241.7
159,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2012,499.7
160,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2013,489.2
161,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2020,449.3
162,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2021,480.9
163,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2022,408.5
164,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2004,577.4
165,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2000,553.9
166,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2001,580.2
167,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2002,580.6
168,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2003,576.5
169,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2010,77.9
170,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2011,76.8
171,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2016,453.7
172,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2017,412.1
173,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2018,399.7
174,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2019,389.8
175,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2005,617.0
176,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2006,631.9
177,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2007,642.2
178,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2008,596.4
179,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2009,541.2
180,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2010,526.5
181,Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2011,508.8
182,Finland,FIN,Treatable mortality,Deaths,2020,3958.5
183,Finland,FIN,Treatable mortality,Deaths,2021,3894.0
184,Finland,FIN,Treatable mortality,Deaths,2000,5635.0
185,Finland,FIN,Treatable mortality,Deaths,2001,5249.0
186,Finland,FIN,Treatable mortality,Deaths,2002,5177.5
187,Finland,FIN,Treatable mortality,Deaths,2003,4965.0
188,Finland,FIN,Treatable mortality,Deaths,2004,4869.5
189,Finland,FIN,Treatable mortality,Deaths,2005,4733.5
190,Finland,FIN,Treatable mortality,Deaths,2006,4414.5
191,Finland,FIN,Treatable mortality,Deaths,2007,4413.5
192,Finland,FIN,Treatable mortality,Deaths,2008,4307.0
193,Finland,FIN,Treatable mortality,Deaths,2009,4380.0
194,Finland,FIN,Treatable mortality,Deaths,2010,4323.5
195,Finland,FIN,Treatable mortality,Deaths,2011,4161.5
196,Finland,FIN,Treatable mortality,Deaths,2012,4149.0
197,Finland,FIN,Treatable mortality,Deaths,2013,4009.5
198,Finland,FIN,Treatable mortality,Deaths,2014,3919.5
199,Finland,FIN,Treatable mortality,Deaths,2015,3881.5
200,Finland,FIN,Treatable mortality,Deaths,2016,4053.0
201,Finland,FIN,Treatable mortality,Deaths,2017,4061.0
202,Finland,FIN,Treatable mortality,Deaths,2018,3893.5
203,Finland,FIN,Treatable mortality,Deaths,2019,3854.5
204,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2018,139.6
205,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2019,126.0
206,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2009,147.5
207,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2010,147.4
208,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2011,148.5
209,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2012,142.4
210,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2013,162.8
211,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2014,160.3
212,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2015,155.2
213,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2016,156.2
214,Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2017,149.7
215,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2020,106.1
216,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2021,112.7
217,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2000,223.0
218,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2001,165.8
219,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2002,163.4
220,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2003,163.5
221,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2004,151.5
222,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2005,153.4
223,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2006,146.5
224,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2007,142.0
225,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2008,138.9
226,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2009,133.1
227,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2010,131.4
228,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2011,124.9
229,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2012,122.2
230,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2013,114.8
231,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2014,117.3
232,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2015,121.0
233,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2016,113.4
234,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2017,112.9
235,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2018,108.4
236,Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2019,104.3
237,Spain,ESP,Preventable mortality,Deaths,2020,62285.0
238,Spain,ESP,Preventable mortality,Deaths,2021,59256.0
239,Bulgaria,BGR,Preventable mortality,Deaths,2019,16481.5
240,Bulgaria,BGR,Preventable mortality,Deaths,2020,22728.5
241,Bulgaria,BGR,Preventable mortality,Deaths,2021,32784.0
242,Bulgaria,BGR,Preventable mortality,Deaths,2009,18556.5
243,Bulgaria,BGR,Preventable mortality,Deaths,2010,17471.0
244,Bulgaria,BGR,Preventable mortality,Deaths,2011,16663.0
245,Bulgaria,BGR,Preventable mortality,Deaths,2012,17650.0
246,Bulgaria,BGR,Preventable mortality,Deaths,2013,16678.5
247,Bulgaria,BGR,Preventable mortality,Deaths,2014,17124.5
248,Bulgaria,BGR,Preventable mortality,Deaths,2015,17234.5
249,Bulgaria,BGR,Preventable mortality,Deaths,2016,16391.0
250,Bulgaria,BGR,Preventable mortality,Deaths,2017,16315.5
251,Bulgaria,BGR,Preventable mortality,Deaths,2018,16087.0
252,Bulgaria,BGR,Preventable mortality,Deaths,2005,22638.5
253,Bulgaria,BGR,Preventable mortality,Deaths,2006,21705.5
254,Bulgaria,BGR,Preventable mortality,Deaths,2007,21115.0
255,Bulgaria,BGR,Preventable mortality,Deaths,2008,20192.5
256,Spain,ESP,Preventable mortality,Deaths,2000,61055.0
257,Spain,ESP,Preventable mortality,Deaths,2001,59853.0
258,Spain,ESP,Preventable mortality,Deaths,2002,59202.5
259,Spain,ESP,Preventable mortality,Deaths,2003,59380.5
260,Spain,ESP,Preventable mortality,Deaths,2004,57338.5
261,Spain,ESP,Preventable mortality,Deaths,2005,56630.5
262,Spain,ESP,Preventable mortality,Deaths,2006,54124.5
263,Spain,ESP,Preventable mortality,Deaths,2007,54060.0
264,Spain,ESP,Preventable mortality,Deaths,2008,52309.5
265,Spain,ESP,Preventable mortality,Deaths,2009,50770.5
266,Spain,ESP,Preventable mortality,Deaths,2010,49378.5
267,Spain,ESP,Preventable mortality,Deaths,2011,48440.5
268,Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2002,383.2
269,Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2019,110.7
270,Spain,ESP,Preventable mortality,Deaths,2014,47771.0
271,Spain,ESP,Preventable mortality,Deaths,2015,48178.0
272,Spain,ESP,Preventable mortality,Deaths,2016,48430.5
273,Spain,ESP,Preventable mortality,Deaths,2017,48464.5
274,Spain,ESP,Preventable mortality,Deaths,2018,48320.5
275,Spain,ESP,Preventable mortality,Deaths,2019,47710.0
276,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2020,344.1
277,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2021,395.2
278,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2000,430.9
279,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2001,411.9
280,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2002,396.9
281,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2003,393.7
282,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2004,386.8
283,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2005,379.2
284,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2006,377.8
285,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2007,374.6
286,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2008,367.5
287,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2009,354.4
288,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2010,337.0
289,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2011,328.1
290,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2012,322.1
291,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2013,312.1
292,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2014,293.1
293,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2015,291.3
294,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2016,287.6
295,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2017,290.1
296,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2018,287.2
297,Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2019,291.4
298,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2014,81.9
299,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2015,81.6
300,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2008,95.6
301,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2009,92.2
302,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2010,93.8
303,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2011,91.3
304,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2016,77.3
305,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2017,73.4
306,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2018,73.4
307,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2019,71.8
308,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2020,83.3
309,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2021,92.8
310,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2004,112.2
311,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2005,110.2
312,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2006,105.2
313,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2007,102.4
314,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2012,86.6
315,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2013,84.4
316,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2000,131.6
317,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2001,128.6
318,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2002,125.0
319,Israel,ISR,Preventable mortality,Deaths per 100 000 inhabitants,2003,118.9
320,Estonia,EST,Treatable mortality,Deaths,2021,1678.0
321,Estonia,EST,Treatable mortality,Deaths,2022,1581.5
322,Estonia,EST,Treatable mortality,Deaths,2000,3283.0
323,Estonia,EST,Treatable mortality,Deaths,2001,3143.0
324,Estonia,EST,Treatable mortality,Deaths,2002,3049.5
325,Estonia,EST,Treatable mortality,Deaths,2003,2935.0
326,Estonia,EST,Treatable mortality,Deaths,2004,2841.5
327,Estonia,EST,Treatable mortality,Deaths,2005,2551.0
328,Estonia,EST,Treatable mortality,Deaths,2006,2507.0
329,Estonia,EST,Treatable mortality,Deaths,2007,2389.0
330,Estonia,EST,Treatable mortality,Deaths,2008,2251.0
331,Estonia,EST,Treatable mortality,Deaths,2009,2194.0
332,Estonia,EST,Treatable mortality,Deaths,2010,2015.0
333,Estonia,EST,Treatable mortality,Deaths,2011,1866.0
334,Estonia,EST,Treatable mortality,Deaths,2012,1879.0
335,Estonia,EST,Treatable mortality,Deaths,2013,1727.5
336,Estonia,EST,Treatable mortality,Deaths,2014,1749.5
337,Estonia,EST,Treatable mortality,Deaths,2015,1620.5
338,Estonia,EST,Treatable mortality,Deaths,2016,1561.0
339,Estonia,EST,Treatable mortality,Deaths,2017,1566.5
340,Estonia,EST,Treatable mortality,Deaths,2018,1554.0
341,Estonia,EST,Treatable mortality,Deaths,2019,1529.0
342,Estonia,EST,Treatable mortality,Deaths,2020,1509.0
343,Germany,DEU,Preventable mortality,Deaths,2015,121842.0
344,Germany,DEU,Preventable mortality,Deaths,2016,119266.0
345,Germany,DEU,Preventable mortality,Deaths,2017,117524.0
346,Germany,DEU,Preventable mortality,Deaths,2018,118856.5
347,Germany,DEU,Preventable mortality,Deaths,2019,115278.0
348,Germany,DEU,Preventable mortality,Deaths,2020,123590.0
349,Germany,DEU,Preventable mortality,Deaths,2004,138339.5
350,Germany,DEU,Preventable mortality,Deaths,2005,136079.5
351,Germany,DEU,Preventable mortality,Deaths,2006,132181.0
352,Germany,DEU,Preventable mortality,Deaths,2007,130175.0
353,Germany,DEU,Preventable mortality,Deaths,2008,129611.0
354,Germany,DEU,Preventable mortality,Deaths,2009,129364.0
355,Germany,DEU,Preventable mortality,Deaths,2010,127922.5
356,Germany,DEU,Preventable mortality,Deaths,2011,126602.0
357,Germany,DEU,Preventable mortality,Deaths,2012,124617.5
358,Germany,DEU,Preventable mortality,Deaths,2013,125346.5
359,Germany,DEU,Preventable mortality,Deaths,2000,150471.5
360,Germany,DEU,Preventable mortality,Deaths,2001,145855.0
361,Germany,DEU,Preventable mortality,Deaths,2002,146222.0
362,Germany,DEU,Preventable mortality,Deaths,2003,145037.5
363,Germany,DEU,Preventable mortality,Deaths,2014,119942.0
364,Romania,ROU,Preventable mortality,Deaths per 100 000 inhabitants,2018,254.0
365,Romania,ROU,Preventable mortality,Deaths per 100 000 inhabitants,2019,245.4
366,Romania,ROU,Preventable mortality,Deaths per 100 000 inhabitants,2000,350.9
