Country,Country_code,Measure,Domain,Unit_of_measure,Age,Year,Well-being_values
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2022,48.65553081
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,85.73399186
Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,85.73399186
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2004,59.442360763
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2005,58.650394842
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2006,57.733198728
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2007,57.305223339
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2008,55.925713333
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2009,52.293
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2010,50.03
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2011,49.288
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2012,49.27
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2013,49.51
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2014,50.514
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2015,53.482
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2016,53.361
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2017,53.953
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2018,53.66
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2019,54.089
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2020,52.314
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2021,51.288
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2022,53.671
United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2023,53.972
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2007,1.508216143
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2008,1.560836434
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2009,2.288082123
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2010,1.952415109
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2011,1.493825555
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2012,1.724600196
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2013,1.899237514
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2014,1.258510351
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2015,1.508251429
Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2016,1.516906977
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2004,5.202932435
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2005,4.958358218
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2006,4.578013424
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2007,4.029568629
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2008,3.577062550
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2009,3.797458214
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2010,5.601375429
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2011,8.700100155
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2012,14.322297073
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2013,18.557383170
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2014,19.467292906
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2015,18.160088883
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2016,16.672583494
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2017,15.273751694
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2018,13.377818174
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2019,12.038426683
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2020,10.776046609
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2021,9.184138930
Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2022,7.769552411
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2004,0.893652970
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2005,0.907685089
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2006,0.805691416
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2007,0.451080015
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2008,0.330940799
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2009,0.534673150
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2010,0.724570473
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2011,0.796210289
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2012,0.645471077
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2013,0.733624405
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2014,0.871314730
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2015,1.131201177
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2016,1.298972142
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2017,1.230905162
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2018,1.103569611
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2019,0.916257109
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2020,0.952597792
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2021,1.164369863
Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2022,0.664944425
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2007,3.664482117
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2008,4.991039753
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2009,10.242185593
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2010,8.413327217
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2011,8.557765007
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2012,10.527075768
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2013,9.360007286
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2014,6.798935890
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2015,4.893457413
Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2016,3.510169983
Hungary,HUN,Job strain,Work and job quality,Percentage of employees in the same subgroup,Young,2005,56.244739532
Hungary,HUN,Job strain,Work and job quality,Percentage of employees in the same subgroup,Young,2010,45.968315125
Hungary,HUN,Job strain,Work and job quality,Percentage of employees in the same subgroup,Young,2015,32.823768616
Germany,DEU,Having a say in government,Civic engagement,Percentage of population aged 16-65 in the same subgroup,Middle-aged,2012,24.32871388
Chile,CHL,Adult numeracy skills,Knowledge and skills,Points,Young,2014,220.77102
Germany,DEU,Adult numeracy skills,Knowledge and skills,Points,Young,2012,275.10122
Germany,DEU,Voter turnout,Civic engagement,Percentage of votes in the same subgroup,Young,2017,81.32249
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2012,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2013,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2014,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2015,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2016,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2017,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2018,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2019,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2021,96.8696177
Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2022,96.8696177
Chile,CHL,Voter turnout,Civic engagement,Percentage of votes in the same subgroup,Young,2017,48.698545
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,90.06277919
Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2022,90.06277919
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,10.53712219
Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,10.53712219
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,17.01438278
Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,17.01438278
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2004,66.894117879
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2005,68.122960439
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2006,68.964995224
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2007,70.088752973
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2008,70.981449460
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2009,69.811
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2010,72.347
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2011,74.446
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2012,74.859
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2013,75.622
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2014,75.322
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2015,75.317
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2016,75.15
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2017,75.497
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2018,75.67
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2019,75.806
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2020,67.426
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2021,70.277
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2022,73.827
Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2023,74.964
Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2013,7.317418324
Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2018,7.750128529
Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2021,7.623763172
Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2022,7.656790356
Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2023,7.6
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2004,6.34
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2005,6.73
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2006,6.25
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2007,5.81
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2008,6.22
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2009,4.52
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2010,4.15
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2011,3.86
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2012,3.84
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2013,3.85
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2014,2.58
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2015,3.8
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2016,2.53
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2017,1.94
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2018,3.08
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2019,2.4
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2020,2.54
Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2021,2.04
