,REF_AREA,Reference area,CHEM_COMP,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2
191,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2017,109.7147,A,Normal value,,
192,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2018,107.761,A,Normal value,,
193,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2019,108.8498,A,Normal value,,
194,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2020,107.6994,A,Normal value,,
195,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2021,113.9719,A,Normal value,,
196,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2022,107.4464,A,Normal value,,
197,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1990,4.6669,A,Normal value,,
198,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1991,4.33049,A,Normal value,,
199,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1992,4.052388,A,Normal value,,
200,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1993,3.975396,A,Normal value,,
201,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1994,4.161333,A,Normal value,,
202,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1995,4.072172,A,Normal value,,
203,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1996,3.885228,A,Normal value,,
204,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1997,3.66644,A,Normal value,,
205,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1998,3.523187,A,Normal value,,
206,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,1999,3.63089,A,Normal value,,
207,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2000,3.619842,A,Normal value,,
208,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2001,3.565975,A,Normal value,,
209,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2002,3.786931,A,Normal value,,
210,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2003,3.408443,A,Normal value,,
211,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2004,4.100758,A,Normal value,,
212,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2005,3.649569,A,Normal value,,
213,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2006,3.746948,A,Normal value,,
214,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2007,3.700315,A,Normal value,,
215,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2008,4.600778,A,Normal value,,
216,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2009,4.014016,A,Normal value,,
217,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2010,4.173887,A,Normal value,,
218,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2011,4.501819,A,Normal value,,
219,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2012,3.909739,A,Normal value,,
220,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2013,3.825108,A,Normal value,,
221,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2014,3.789213,A,Normal value,,
222,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2015,3.775584,A,Normal value,,
223,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2016,3.322881,A,Normal value,,
224,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2017,3.588661,A,Normal value,,
225,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2018,3.932178,A,Normal value,,
226,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2019,3.392726,A,Normal value,,
227,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2020,3.410001,A,Normal value,,
228,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2021,3.754889,A,Normal value,,
229,ALB,Albania,PM10,Particulates (PM10),Total man-made emissions,Tonnes,2022,3.263623,A,Normal value,,
230,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1990,63.51465,A,Normal value,,
231,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1991,64.40999,A,Normal value,,
232,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1992,65.85637,A,Normal value,,
233,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1993,62.66473,A,Normal value,,
234,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1994,62.12785,A,Normal value,,
235,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1995,63.69789,A,Normal value,,
236,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1996,63.55475,A,Normal value,,
237,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1997,64.93988,A,Normal value,,
238,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1998,72.19161,A,Normal value,,
239,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1999,67.40093,A,Normal value,,
240,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2000,65.09768,A,Normal value,,
241,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2001,62.08531,A,Normal value,,
242,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2002,62.61629,A,Normal value,,
243,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2003,58.86642,A,Normal value,,
244,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2004,58.91534,A,Normal value,,
245,PRT,Portugal,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2005,57.22139,A,Normal value,,
