,REF_AREA,Reference area,Measure,Unit of measure,Age,Health status,TIME_PERIOD,OBS_VALUE
99,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1986,87.6
100,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,86.2
101,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1988,86.1
102,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1989,86.6
103,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1990,84.7
104,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1991,85.2
105,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1992,83.0
106,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,82.2
107,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,86.7
108,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,85.1
109,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,87.2
110,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,86.8
111,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,85.4
112,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,83.5
113,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,84.4
114,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,83.0
115,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,83.9
116,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,84.0
117,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,82.5
118,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,84.6
119,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,85.0
120,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,86.7
121,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,87.6
122,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,88.4
123,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,89.0
124,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,88.5
125,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,88.9
126,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,88.4
127,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,86.2
128,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,86.6
129,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,84.9
130,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,86.5
131,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,85.0
132,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,85.4
133,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,86.2
134,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,84.8
135,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,85.0
136,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,85.1
137,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,84.7
138,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,86.0
139,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,85.8
140,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,85.0
141,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,86.0
142,BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,85.6
143,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,96.8
144,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,97.6
145,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,97.6
146,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,97.3
147,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,96.3
148,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,97.7
149,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,97.7
150,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,98.7
151,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,98.5
152,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,97.8
153,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,98.0
154,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,97.4
155,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,97.8
156,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,98.2
157,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,98.4
158,ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,98.5
159,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,77.0
160,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,75.8
161,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,75.8
162,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,76.0
163,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,80.5
164,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,82.0
165,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,82.0
166,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,80.8
167,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,81.4
168,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,80.7
169,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,81.4
170,DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,81.0
171,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,88.1
172,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,86.0
173,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,85.1
174,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,85.5
175,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,82.7
176,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,81.4
177,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,79.4
178,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,81.0
179,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,80.7
180,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,82.5
181,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,83.1
182,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,81.1
183,CRI,Costa Rica,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,79.4
184,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1986,63.9
185,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1989,71.2
186,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1992,59.9
187,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,58.8
188,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1999,59.2
189,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,62.8
190,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,65.7
191,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,71.0
192,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,69.1
193,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,67.1
194,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,70.2
195,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,68.3
196,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,70.1
197,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,74.0
198,KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,75.4
199,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,56.5
200,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,73.1
201,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,71.4
202,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,69.6
203,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,69.4
204,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1991,84.4
205,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1992,86.1
206,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1993,85.1
207,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1994,84.8
208,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,86.4
209,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1996,86.7
210,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,85.4
211,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,84.0
212,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1999,87.2
213,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,86.7
214,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,86.4
215,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,86.8
216,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,87.6
217,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,88.9
218,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,90.4
219,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,89.9
220,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,91.7
221,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,93.9
222,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,93.8
223,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,93.3
224,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,93.1
225,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,90.6
226,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,91.5
227,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,89.2
228,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,87.6
229,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,86.4
230,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,88.6
231,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,87.5
232,GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,87.8
233,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,64.7
234,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,79.6
235,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,79.3
236,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,78.7
237,MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,78.4
238,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,77.3
239,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,73.4
240,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,75.9
241,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,78.1
242,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,77.2
243,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,77.7
244,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,78.6
245,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,79.8
246,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,79.0
247,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,84.9
248,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,85.3
249,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,85.6
250,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.5
251,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,85.3
252,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,89.0
253,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,86.6
254,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,88.7
255,ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,87.2
256,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,93.0
257,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,91.5
258,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,90.3
259,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,90.7
260,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,88.6
261,DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,88.6
