,Country,Country_code,Measure,Domain,Unit_of_measure,Age,Year,Well-being_values
49,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,48.65553081
50,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,48.65553081
51,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,48.65553081
52,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,48.65553081
53,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,48.65553081
54,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,48.65553081
55,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,48.65553081
56,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2022,48.65553081
57,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,85.73399186
58,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,85.73399186
59,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,85.73399186
60,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,85.73399186
61,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,85.73399186
62,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,85.73399186
63,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,85.73399186
64,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,85.73399186
65,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,85.73399186
66,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,85.73399186
67,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,85.73399186
68,Lithuania,LTU,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,85.73399186
69,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2004,59.442360763
70,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2005,58.650394842
71,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2006,57.733198728
72,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2007,57.305223339
73,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2008,55.925713333
74,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2009,52.293
75,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2010,50.03
76,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2011,49.288
77,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2012,49.27
78,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2013,49.51
79,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2014,50.514
80,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2015,53.482
81,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2016,53.361
82,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2017,53.953
83,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2018,53.66
84,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2019,54.089
85,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2020,52.314
86,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2021,51.288
87,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2022,53.671
88,United Kingdom,GBR,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Young,2023,53.972
89,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2007,1.508216143
90,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2008,1.560836434
91,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2009,2.288082123
92,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2010,1.952415109
93,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2011,1.493825555
94,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2012,1.724600196
95,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2013,1.899237514
96,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2014,1.258510351
97,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2015,1.508251429
98,Finland,FIN,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2016,1.516906977
99,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2004,5.202932435
100,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2005,4.958358218
101,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2006,4.578013424
102,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2007,4.029568629
103,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2008,3.57706255
104,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2009,3.797458214
105,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2010,5.601375429
106,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2011,8.700100155
107,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2012,14.322297073
108,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2013,18.55738317
109,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2014,19.467292906
110,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2015,18.160088883
111,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2016,16.672583494
112,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2017,15.273751694
113,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2018,13.377818174
114,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2019,12.038426683
115,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2020,10.776046609
116,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2021,9.18413893
117,Greece,GRC,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2022,7.769552411
118,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2004,0.89365297
119,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2005,0.907685089
120,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2006,0.805691416
121,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2007,0.451080015
122,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2008,0.330940799
123,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2009,0.53467315
124,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2010,0.724570473
125,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2011,0.796210289
126,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2012,0.645471077
127,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2013,0.733624405
128,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2014,0.87131473
129,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2015,1.131201177
130,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2016,1.298972142
131,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2017,1.230905162
132,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2018,1.103569611
133,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2019,0.916257109
134,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2020,0.952597792
135,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2021,1.164369863
136,Norway,NOR,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2022,0.664944425
137,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2007,3.664482117
138,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2008,4.991039753
139,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2009,10.242185593
140,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2010,8.413327217
141,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2011,8.557765007
142,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2012,10.527075768
143,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2013,9.360007286
144,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2014,6.79893589
145,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2015,4.893457413
146,Czechia,CZE,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Young,2016,3.510169983
147,Hungary,HUN,Job strain,Work and job quality,Percentage of employees in the same subgroup,Young,2005,56.244739532
148,Hungary,HUN,Job strain,Work and job quality,Percentage of employees in the same subgroup,Young,2010,45.968315125
149,Hungary,HUN,Job strain,Work and job quality,Percentage of employees in the same subgroup,Young,2015,32.823768616
150,Germany,DEU,Having a say in government,Civic engagement,Percentage of population aged 16-65 in the same subgroup,Middle-aged,2012,24.32871388
151,Chile,CHL,Adult numeracy skills,Knowledge and skills,Points,Young,2014,220.77102
152,Germany,DEU,Adult numeracy skills,Knowledge and skills,Points,Young,2012,275.10122
153,Germany,DEU,Voter turnout,Civic engagement,Percentage of votes in the same subgroup,Young,2017,81.32249
154,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2012,96.8696177
155,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2013,96.8696177
156,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2014,96.8696177
157,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2015,96.8696177
158,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2016,96.8696177
159,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2017,96.8696177
160,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2018,96.8696177
161,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2019,96.8696177
162,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2021,96.8696177
163,Netherlands,NLD,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Young,2022,96.8696177
164,Chile,CHL,Voter turnout,Civic engagement,Percentage of votes in the same subgroup,Young,2017,48.698545
165,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,90.06277919
166,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,90.06277919
167,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,90.06277919
168,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,90.06277919
169,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,90.06277919
170,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,90.06277919
171,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,90.06277919
172,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,90.06277919
173,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,90.06277919
174,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,90.06277919
175,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,90.06277919
176,Czechia,CZE,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2022,90.06277919
177,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,10.53712219
178,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,10.53712219
179,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,10.53712219
180,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,10.53712219
181,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,10.53712219
182,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,10.53712219
183,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,10.53712219
184,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,10.53712219
185,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,10.53712219
186,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,10.53712219
187,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,10.53712219
188,Denmark,DNK,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,10.53712219
189,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,17.01438278
190,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,17.01438278
191,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,17.01438278
192,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,17.01438278
193,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,17.01438278
194,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,17.01438278
195,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,17.01438278
196,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,17.01438278
197,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,17.01438278
198,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,17.01438278
199,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,17.01438278
200,Lithuania,LTU,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,17.01438278
201,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2004,66.894117879
202,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2005,68.122960439
203,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2006,68.964995224
204,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2007,70.088752973
205,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2008,70.98144946
206,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2009,69.811
207,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2010,72.347
208,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2011,74.446
209,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2012,74.859
210,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2013,75.622
211,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2014,75.322
212,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2015,75.317
213,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2016,75.15
214,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2017,75.497
215,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2018,75.67
216,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2019,75.806
217,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2020,67.426
218,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2021,70.277
219,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2022,73.827
220,Chile,CHL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2023,74.964
221,Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2013,7.317418324
222,Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2018,7.750128529
223,Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2021,7.623763172
224,Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2022,7.656790356
225,Spain,ESP,Life satisfaction,Subjective well-being,0-10 scale,Young,2023,7.6
226,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2004,6.34
227,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2005,6.73
228,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2006,6.25
229,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2007,5.81
230,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2008,6.22
231,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2009,4.52
232,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2010,4.15
233,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2011,3.86
234,Slovenia,SVN,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2012,3.84
