,Country,Country_Code,Measure,Unit_of_measure,Sex,Age,Year,Retirement_values
29,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1989,61.8
30,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1990,61.6
31,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1991,61.5
32,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1992,60.9
33,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1993,60.3
34,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1994,60.4
35,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1995,60.7
36,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1996,60.5
37,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1997,60.7
38,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1998,60.6
39,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1999,60.9
40,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2000,60.6
41,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2001,60.9
42,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2002,60.8
43,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2003,60.7
44,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2004,60.4
45,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2005,60.6
46,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2006,60.7
47,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2007,61.1
48,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2008,61.7
49,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2009,61.2
50,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2010,61.5
51,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2011,61.6
52,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2012,62.2
53,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2013,62.5
54,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2014,62.4
55,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2015,62.0
56,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2016,61.6
57,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2017,61.8
58,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2018,62.3
59,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2019,63.0
60,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2020,63.1
61,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2021,63.5
62,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2022,64.0
63,Denmark,DNK,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,73.1
64,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1970,17.1
65,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1971,17.3
66,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1972,17.5
67,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1973,17.7
68,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1974,17.8
69,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1975,18.4
70,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1976,18.4
71,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1977,18.6
72,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1978,18.7
73,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1979,18.7
74,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1980,19.0
75,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1981,19.0
76,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1982,19.0
77,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1983,19.5
78,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1984,20.3
79,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1985,19.8
80,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1986,19.4
81,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1987,21.0
82,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1988,21.2
83,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1989,20.7
84,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1990,20.6
85,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1991,20.8
86,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1992,20.9
87,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1993,21.7
88,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1994,22.8
89,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1995,22.5
90,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1996,23.4
91,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1997,23.4
92,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1998,22.9
93,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1999,21.8
94,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2000,22.8
95,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2001,22.1
96,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2002,21.1
97,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2003,20.8
98,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2004,21.7
99,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2005,22.0
100,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2006,21.6
101,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2007,22.2
102,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2008,22.5
103,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2009,22.8
104,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2010,22.8
105,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2011,23.9
106,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2012,23.6
107,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2013,23.9
108,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2014,24.8
109,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2015,24.4
110,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2016,23.0
111,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2017,23.2
112,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2018,23.3
113,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2019,22.4
114,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2020,22.4
115,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2021,21.7
116,Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2022,22.4
117,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1950,20.9
118,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1951,20.7
119,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1952,20.7
120,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1953,20.7
121,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1954,20.8
122,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1955,21.0
123,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1956,21.3
124,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1957,21.6
125,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1958,21.9
126,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1959,22.2
127,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1960,22.5
128,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1961,22.7
129,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1962,23.1
130,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1963,23.0
131,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1964,23.0
132,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1965,23.1
133,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1966,23.1
134,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1967,23.1
135,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1968,23.1
136,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1969,23.0
137,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1970,22.9
138,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1971,22.7
139,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1972,22.5
140,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1973,22.3
141,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1974,22.1
142,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1975,21.4
143,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1976,21.9
144,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1977,21.9
145,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1978,22.0
146,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1979,22.0
147,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1980,21.9
148,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1981,21.9
149,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1982,21.7
150,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1983,21.6
151,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1984,21.5
152,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1985,21.5
153,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1986,21.6
154,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1987,21.6
155,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1988,21.7
156,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1989,21.8
157,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1991,21.7
158,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1992,21.7
159,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1993,21.4
160,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1994,21.1
161,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1996,20.5
162,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1997,20.2
163,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1998,19.9
164,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1999,19.5
165,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2001,18.9
166,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2002,18.6
167,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2003,18.4
168,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2004,18.2
169,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2022,25.8
170,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2023,26.0
171,Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2024,26.7
172,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1970,72.3
173,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1971,72.2
174,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1972,71.6
175,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1973,71.2
176,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1974,70.9
177,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1975,70.6
178,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1976,70.4
179,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1977,69.8
180,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1978,69.2
181,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1979,68.6
182,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1980,68.0
183,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1981,67.5
184,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1982,67.4
185,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1983,67.4
186,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1984,66.1
187,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1985,66.0
188,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1986,64.6
189,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1987,64.4
190,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1988,61.9
191,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1989,61.6
192,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1990,62.4
193,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1991,63.3
194,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1992,62.1
195,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1993,63.0
196,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1994,64.2
197,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1995,63.1
198,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1996,63.6
199,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1997,62.9
200,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1998,62.9
201,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,1999,64.4
202,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2000,64.8
203,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2001,64.1
204,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2002,64.6
205,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2003,64.5
206,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2004,63.6
207,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2005,64.3
208,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2006,64.6
209,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2007,63.6
210,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2008,63.7
211,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2009,62.8
212,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2010,63.2
213,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2011,63.3
214,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2012,61.9
215,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2013,62.5
216,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2014,61.9
217,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2015,62.3
218,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2016,62.6
219,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2017,63.2
220,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2018,63.0
221,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2019,63.8
222,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2020,63.9
223,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2021,65.0
224,Ireland,IRL,Effective labour market exit age,Years,Female,Not applicable,2022,64.9
225,Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014,62.5
226,Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018,67.0
227,Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020,62.0
228,Italy,ITA,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022,64.0
229,Luxembourg,LUX,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,68.8
230,Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2014,70.3
231,Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2018,58.1
232,Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2020,62.8
233,Netherlands,NLD,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2022,64.6
234,Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014,67.0
235,Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018,67.0
236,Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020,67.0
237,Norway,NOR,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022,67.0
238,Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2014,0.0
239,Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2016,0.0
240,Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2018,0.0
241,Poland,POL,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2020,0.0
242,Slovak Republic,SVK,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022,48.3
243,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1970,63.0
244,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1971,62.7
245,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1972,62.4
246,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1973,62.1
247,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1974,61.7
248,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1975,61.3
249,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1976,61.4
250,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1977,61.5
251,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1978,61.6
252,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1979,61.7
253,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1980,61.8
254,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1981,62.1
255,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1982,62.4
256,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1983,62.5
257,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1984,62.7
258,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1985,62.8
259,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1986,62.5
260,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1987,62.1
261,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1988,61.8
262,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1989,61.5
263,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1990,61.3
264,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1991,61.0
265,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1992,60.4
266,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1993,59.9
267,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1994,59.8
268,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1995,59.8
269,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1996,59.5
270,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1997,59.1
271,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1998,58.9
272,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,1999,58.5
273,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2000,58.8
274,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2001,59.0
275,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2002,58.8
276,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2003,59.5
277,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2004,59.2
278,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2005,58.7
279,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2006,58.7
280,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2007,58.8
281,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2008,58.7
282,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2009,59.3
283,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2010,59.5
284,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2011,59.9
285,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2012,60.4
286,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2013,60.8
287,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2014,60.6
288,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2015,60.4
289,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2016,60.2
290,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2017,60.1
291,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2018,60.6
292,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2019,60.1
293,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2020,60.2
294,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2021,60.6
295,Slovak Republic,SVK,Effective labour market exit age,Years,Male,Not applicable,2022,61.7
296,Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014,65.0
297,Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018,65.0
298,Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020,65.0
299,Sweden,SWE,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022,70.0
300,Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014,60.0
301,Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018,65.0
302,Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020,65.0
303,Chile,CHL,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022,65.0
304,Slovenia,SVN,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,42.1
